127.0.0.1 - - [14/Jul/2023:14:51:19 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Jul/2023:14:51:41 +0530] "GET /chat/LoginSuccess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jul/2023:14:51:41 +0530] "GET /chat/login.jsp HTTP/1.1" 200 719
0:0:0:0:0:0:0:1 - - [14/Jul/2023:14:51:41 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:10:15 +0530] "POST /chat/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:10:15 +0530] "GET /chat/LoginSuccess.jsp HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:10:35 +0530] "POST /chat/EditProfile.jsp HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [14/Jul/2023:15:11:06 +0530] "POST /chat/EmailEdit.jsp HTTP/1.1" 500 2662
0:0:0:0:0:0:0:1 - - [14/Jul/2023:17:41:14 +0530] "POST /chat/EmailEdit.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jul/2023:17:41:14 +0530] "GET /chat/login.jsp HTTP/1.1" 200 719
0:0:0:0:0:0:0:1 - - [14/Jul/2023:17:41:21 +0530] "POST /chat/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jul/2023:17:41:21 +0530] "GET /chat/LoginSuccess.jsp HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [14/Jul/2023:17:41:40 +0530] "POST /chat/EditProfile.jsp HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [14/Jul/2023:17:41:43 +0530] "POST /chat/EmailEdit.jsp HTTP/1.1" 500 2662
